NO,Modul,Sub-Modul,Kode FR,Nama FR,Deskripsi FR,User Story,Aktor,Jenis,Additional Note,Notes,,Aktor,Peran,Tugas
1,Autentikasi,Auth,FR-AUTH-01,Autentikasi,User dapat melakukan login menggunakan username & password yang sudah terdaftar,"Sebagai Pengguna (Admin, Staf Unit, Mahasiswa), saya ingin melakukan autentikasi dengan username dan kata sandi, sehingga saya dapat masuk ke dalam sistem dengan aman.","Admin, Staf Unit, Mahasiswa",,,Semua alur persuratan bisa berjalan as Unit (sebagai unit) or as individual (Sebagai individual) ,,Admin,Pengelola sistem secara keseluruhan,"Mengelola data master, konfigurasi struktur organisasi, dan manajemen data pengguna."
2,Administrasi Sistem,Manage Struktur Organisasi,FR-ADM-01,Mengelola Struktur Organisasi,Admin dapat mengatur hierarki unit organisasi beserta relasi antar akun personel di setiap unit sebagai dasar alur persuratan.,"Sebagai Admin, saya ingin mengelola struktur organisasi, sehingga saya dapat mengatur hierarki dan relasi antar akun sebagai landasan alur persuratan.",Admin,,,,,Staf Unit,Pengguna internal institusi yang mencakup pejabat struktural dan sivitas akademika,Berinteraksi dengan sistem dalam alur persuratan yang berjalan sesuai posisinya dalam struktur organisasi yang dikonfigurasi.
3,,Manage Akun Pengguna,FR-ADM-02,Mengelola Akun Pengguna,"Admin dapat menambahkan, mengubah, menonaktifkan, dan menghapus akun pengguna dalam sistem.","Sebagai Admin, saya ingin mengelola akun pengguna (menambahkan, mengubah, menonaktifkan, menghapus), sehingga saya dapat mengontrol siapa saja yang memiliki hak akses ke dalam sistem.",Admin,,,,,Pihak Luar (Guest),Pihak dari luar institusi yang dapat mengakses fitur persuratan sistem tanpa autentikasi ,Mengajukan permohonan surat resmi kelembagaan dan memantau status pengajuan surat melalui akses publik
4,,,FR-ADM-03,Mengimpor Data Pengguna,Admin dapat mengimpor data pengguna secara massal melalui file sheet (.xlsx) untuk mempercepat pembuatan akun.,"Sebagai Admin, saya ingin mengimpor data pengguna secara massal menggunakan file spreadsheet (.xlsx), sehingga saya dapat mempercepat proses pembuatan akun secara kolektif.",Admin,,,,,Mahasiswa,Mahasiswa internal institusi yang memiliki akun terdaftar pada sistem dengan hak akses yang berbeda dengan staf unit.,"Mengajukan permohonan surat resmi kelembagaan, memantau status pengajuannya, serta mengakses riwayat pengajuan melalui autentikasi pengguna."
5,,Manage Template Surat,FR-ADM-04,Mengelola Template Surat,"Admin dapat membuat, mengubah, dan menghapus template surat yang digunakan dalam pembuatan surat.","Sebagai Admin, saya ingin mengelola template surat (membuat, mengubah, menghapus), sehingga sistem memiliki format standar yang siap digunakan oleh pengguna.",Admin,,,,,,,
6,,,FR-ADM-05,Mengelola Kategori Template Surat,"Admin dapat mengelompokkan template surat berdasarkan kategori tertentu untuk membedakan akses dan penggunaan (termasuk titik awal, hingga pengiriman)","Sebagai Admin, saya ingin mengelola kategori template surat, sehingga saya bisa mengelompokkan template untuk membedakan hak akses dan penggunaannya di berbagai unit maupun dari pihak luar.",Admin,,,,,,,
7,NDE,Pemrosesan Surat,FR-SRT-01,Membuat Draft Surat,Staf unit dapat membuat draft surat baru berdasarkan template yang tersedia atau dari awal.,"Sebagai Staf Unit, saya ingin membuat draft surat baru menggunakan template yang tersedia atau dari awal, sehingga saya bisa memulai proses pembuatan dokumen NDE.",Staf Unit,,,,,,,
8,,,FR-SRT-02,Mengedit Draft Surat,Staf unit dapat melakukan perubahan terhadap draft surat sebelum dikirim atau diproses lebih lanjut.,"Sebagai Staf Unit, saya ingin mengedit draft surat, sehingga saya dapat melakukan perbaikan atau penyesuaian sebelum surat dikirim.",Staf Unit,,,,,,,
9,,,FR-SRT-03,Menghasilkan Draft Dengan Bantuan AI,Staf unit dapat menggunakan chat AI untuk membantu membuat isi surat,"Sebagai Staf Unit, saya ingin menggunakan asisten AI, sehingga saya mendapatkan bantuan untuk menyusun isi surat dengan lebih cepat dan terstruktur.",Staf Unit,,,,,,,
10,,,FR-SRT-04,Mengirim / Meneruskan Surat,Mengirim surat sebagai terusan secara langsung maupun bertingkat,"Sebagai Staf Unit, saya ingin mengirim atau meneruskan surat (secara langsung maupun bertingkat), sehingga dokumen dapat didistribusikan ke tujuan yang tepat.",Staf Unit,,bisa mengirim ke unit atau ke staff,,,,,
